datetime,A,B,C,D,E,F,G,H,I,J
01/05/2018 7:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 7:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 7:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 7:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 7:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 7:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 8:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 9:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 10:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 11:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 12:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 13:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 14:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 15:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 16:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 17:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 18:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 19:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 20:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 21:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 22:55,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:00,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:05,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:10,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:15,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:20,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:25,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:30,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:35,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:40,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:45,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:50,0,0,0,0,0,0,0,0,0,0
01/05/2018 23:55,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:00,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:05,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:10,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:15,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:20,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:25,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:30,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:35,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:40,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:45,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:50,0,0,0,0,0,0,0,0,0,0
02/05/2018 0:55,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:00,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:05,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:10,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:15,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:20,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:25,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:30,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:35,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:40,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:45,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:50,0,0,0,0,0,0,0,0,0,0
02/05/2018 1:55,0,0,0,0,0,0,0,0,0,0
02/05/2018 2:00,0,0,0,0,0,0,0,0,0,0
02/05/2018 2:05,0,0,0,0,0,0,0,0,0,0
02/05/2018 2:10,0,0,0,0,0,0,0,0,0,0
02/05/2018 2:15,0,0,0,0,0,0,0,0,0,0
02/05/2018 2:20,0,0,0,0,0,0,0,0,0,0
02/05/2018 2:25,0,0,0,0,0,0,0,0,0,0
02/05/2018 2:30,0,0,0,0,0,0,0,0,0,0
02/05/2018 2:35,0,0,0,0,0,0,0,0,0,0
02/05/2018 2:40,0,0,0,0,0,0,0,0,0,0
